year,manuf_name,num_manuf,brand,num_brand,model_name,price,cylinder,weight,horsepower,fuel_cost,nb_households,sj,i1b_poids_vide,i1b_puis_fisc,i1b_cylindree,i1b_euro_km,i2b_poids_vide,i2b_puis_fisc,i2b_cylindree,i2b_euro_km,i3b_poids_vide,i3b_puis_fisc,i3b_cylindree,i3b_euro_km
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE E",5.364226,2.685,17.8,11,6.258821,7185267,.0000394,.8617470956,.850546,.8864787744,.8194621,.5775254928,.670966,.6445465507,.5742975,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE E",7.492225,4.966,16.5,22,13.84096,7185267,.0000134,.8617470956,.850546,.8864787744,.8194621,.5775254928,.670966,.6445465507,.5742975,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE E",4.553822,2.148,15.35,9,5.253518,7185267,.0000681,.8617470956,.850546,.8864787744,.8194621,.5775254928,.670966,.6445465507,.5742975,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE ML",5.64263,2.685,21.25,11,8.107281,7185267,.0002639,.8617470956,.850546,.8864787744,.8194621,.6391076111,.761355,.7375111655,.6316993,.6984936812,.695046,.7156628186,.6443702
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE ML",7.418682,3.996,22.6,18,9.339587,7185267,.0000895,.8617470956,.850546,.8864787744,.8194621,.6391076111,.761355,.7375111655,.6316993,.6984936812,.695046,.7156628186,.6443702
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE S",8.104162,3.222,18.5,13,6.615541,7185267,.0000281,.8617470956,.850546,.8864787744,.8194621,.6458397065,.754402,.7313738582,.6242774,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE S",10.44717,4.266,19.25,20,14.99438,7185267,.000016,.8617470956,.850546,.8864787744,.8194621,.6458397065,.754402,.7313738582,.6242774,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE SL",9.460348,3.724,16.95,17,14.09171,7185267,.000018,.8617470956,.850546,.8864787744,.8194621,.668795048,.782214,.7599994154,.6376809,.6184332525,.842781,.7535796661,.5951132
2003,"DAIMLER",3,"MERCEDES",22,"CLK",5.270505,2.685,15.9,10,5.93453,7185267,.0002064,.8617470956,.850546,.8864787744,.8194621,.5998738422,.684872,.6678181248,.5627289,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLK",6.499894,3.199,16.2,15,13.33948,7185267,7.35e-06,.8617470956,.850546,.8864787744,.8194621,.5998738422,.684872,.6678181248,.5627289,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLK",7.03465,4.966,15.85,22,13.84096,7185267,.00002,.8617470956,.850546,.8864787744,.8194621,.5998738422,.684872,.6678181248,.5627289,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLK",5.849365,3.199,15.3,15,12.28636,7185267,.0001162,.8617470956,.850546,.8864787744,.8194621,.5998738422,.684872,.6678181248,.5627289,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLK",5.193324,1.796,16.15,11,10.73176,7185267,.0000294,.8617470956,.850546,.8864787744,.8194621,.5998738422,.684872,.6678181248,.5627289,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"SLK",7.282733,3.199,14.2,26,13.43978,7185267,1.34e-06,.8617470956,.850546,.8864787744,.8194621,.6575932828,.747449,.7487971184,.6184588,.2194734547,.409492,.2970988798,.3098072
2003,"DAIMLER",3,"MERCEDES",22,"SLK",3.908807,1.998,12.9,11,11.43384,7185267,.0000387,.8617470956,.850546,.8864787744,.8194621,.6575932828,.747449,.7487971184,.6184588,.2194734547,.409492,.2970988798,.3098072
2003,"DAIMLER",3,"MERCEDES",22,"VANEO",2.778652,1.689,12.75,6,5.091372,7185267,.0000247,.8617470956,.850546,.8864787744,.8194621,.6457293442,.776999,.7481963164,.6254284,.6048312308,.500711,.5760943614,.5355487
2003,"DAIMLER",3,"MERCEDES",22,"VANEO",2.947348,1.689,12.75,6,5.642667,7185267,.000012,.8617470956,.850546,.8864787744,.8194621,.6457293442,.776999,.7481963164,.6254284,.6048312308,.500711,.5760943614,.5355487
2003,"DAIMLER",3,"MERCEDES",22,"VANEO",3.013504,1.898,12.35,8,10.23028,7185267,2.00e-06,.8617470956,.850546,.8864787744,.8194621,.6457293442,.776999,.7481963164,.6254284,.6048312308,.500711,.5760943614,.5355487
2003,"DAIMLER",3,"SMART",34,"FORTWO",1.844758,.698,7.4,4,6.067959,7185267,8.68e-06,.8617470956,.850546,.8864787744,.8194621,.6388317055,.773522,.7549344257,.610019,.8706894885,.755528,.8729918066,.9684228
2003,"DAIMLER",3,"SMART",34,"FORTWO",1.844758,.698,7.3,4,6.067959,7185267,.0000294,.8617470956,.850546,.8864787744,.8194621,.6388317055,.773522,.7549344257,.610019,.8706894885,.755528,.8729918066,.9684228
2003,"DAIMLER",3,"SMART",34,"FORTWO",1.844758,.698,7.4,4,5.817217,7185267,.0000902,.8617470956,.850546,.8864787744,.8194621,.6388317055,.773522,.7549344257,.610019,.8706894885,.755528,.8729918066,.9684228
2003,"DAIMLER",3,"SMART",34,"FORTWO",1.656766,.799,7.4,3,2.918621,7185267,7.35e-06,.8617470956,.850546,.8864787744,.8194621,.6388317055,.773522,.7549344257,.610019,.8706894885,.755528,.8729918066,.9684228
2003,"DAIMLER",3,"SMART",34,"FORTWO",1.545956,.698,7.3,4,5.817217,7185267,.0005024,.8617470956,.850546,.8864787744,.8194621,.6388317055,.773522,.7549344257,.610019,.8706894885,.755528,.8729918066,.9684228
2003,"DAIMLER",3,"SMART",34,"FORTWO",1.357964,.799,7.3,3,2.918621,7185267,.0000334,.8617470956,.850546,.8864787744,.8194621,.6388317055,.773522,.7549344257,.610019,.8706894885,.755528,.8729918066,.9684228
2003,"DAIMLER",3,"SMART",34,"ROADSTER",2.403771,.698,8.1,5,6.067959,7185267,.0000835,.8617470956,.850546,.8864787744,.8194621,.6698434891,.79612,.7777040639,.6416147,.2194734547,.409492,.2970988798,.3098072
2003,"DAIMLER",3,"SMART",34,"ROADSTER",1.867912,.698,7.9,4,5.817217,7185267,.000012,.8617470956,.850546,.8864787744,.8194621,.6698434891,.79612,.7777040639,.6416147,.2194734547,.409492,.2970988798,.3098072
2003,"FIAT",4,"ALFA ROMEO",1,"147",2.822755,1.97,12.7,10,10.58132,7185267,.0000394,.850651048,.848378,.8813414925,.8033134,.7618635075,.763093,.7834535116,.7876673,.89014118,.839806,.9122029786,.8103853
2003,"FIAT",4,"ALFA ROMEO",1,"147",2.545233,1.91,12.7,7,5.026514,7185267,.0004429,.850651048,.848378,.8813414925,.8033134,.7618635075,.763093,.7834535116,.7876673,.89014118,.839806,.9122029786,.8103853
2003,"FIAT",4,"ALFA ROMEO",1,"147",2.25856,1.598,12,8,9.728794,7185267,.0002071,.850651048,.848378,.8813414925,.8033134,.7618635075,.763093,.7834535116,.7876673,.89014118,.839806,.9122029786,.8103853
2003,"FIAT",4,"ALFA ROMEO",1,"147",4.074195,3.179,13.6,18,14.3926,7185267,.000022,.850651048,.848378,.8813414925,.8033134,.7618635075,.763093,.7834535116,.7876673,.89014118,.839806,.9122029786,.8103853
2003,"FIAT",4,"ALFA ROMEO",1,"156",3.853677,2.492,14.05,14,14.34245,7185267,2.67e-06,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",3.243614,1.97,13.35,11,10.63146,7185267,7.35e-06,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",3.059812,2.387,13.85,9,5.675097,7185267,.0000414,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",4.62549,3.179,14.1,18,14.3926,7185267,7.35e-06,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",2.927501,1.91,13.55,7,5.18866,7185267,.0000254,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",2.740061,1.747,12.65,9,10.12998,7185267,.0000234,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",3.24174,1.91,13.55,8,5.221089,7185267,.0000408,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",3.181097,2.387,14.35,9,5.772384,7185267,.000024,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"156",2.806216,1.91,13.05,7,5.026514,7185267,.0000888,.850651048,.848378,.8813414925,.8033134,.6829545208,.677919,.6980103303,.7223253,1.342068199,1.41885,1.423362542,1.177412
2003,"FIAT",4,"ALFA ROMEO",1,"166",4.719211,2.959,15.1,16,14.89408,7185267,1.34e-06,.850651048,.848378,.8813414925,.8033134,.7693681384,.776999,.7936519367,.7998753,.6647995829,.915161,.8325077395,.6262956
